               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.033499,            0.020129,            0.018105,             0.79446,             0.69392,             0.71322,               0.362,            0.043334,            0.011998,            0.011974,             0.00307,             0.00307,             0.00307
                  72,            0.032639,            0.020294,            0.017887,             0.81281,             0.69923,             0.74114,              0.3635,            0.044005,             0.01203,            0.011985,            0.002971,            0.002971,            0.002971
                  73,            0.032255,            0.019349,            0.017375,             0.81119,             0.68311,             0.70486,             0.33146,            0.045668,            0.011991,            0.010747,            0.002872,            0.002872,            0.002872
                  74,            0.033402,            0.019245,            0.018455,             0.79444,              0.6828,             0.72182,             0.36981,            0.043024,             0.01234,            0.011354,            0.002773,            0.002773,            0.002773
                  75,            0.031458,            0.019143,            0.017382,             0.81015,             0.71445,             0.74609,             0.37811,             0.04299,            0.011777,            0.011681,            0.002674,            0.002674,            0.002674
                  76,            0.032603,            0.019758,            0.018014,             0.78542,             0.72282,             0.76242,             0.38207,              0.0426,            0.011827,            0.011509,            0.002575,            0.002575,            0.002575
                  77,            0.032521,            0.019666,            0.018164,             0.79564,             0.70126,              0.7558,             0.37192,            0.042737,            0.011998,             0.01174,            0.002476,            0.002476,            0.002476
                  78,             0.03102,            0.019567,            0.016646,             0.82138,             0.72628,             0.76445,             0.38125,            0.043602,            0.011791,            0.012119,            0.002377,            0.002377,            0.002377
                  79,            0.031145,            0.019479,            0.017357,             0.82892,              0.7345,             0.75872,             0.37447,             0.04486,            0.011787,            0.011167,            0.002278,            0.002278,            0.002278
                  80,            0.031288,            0.019228,            0.017735,              0.8039,             0.67451,              0.7169,             0.36973,            0.045206,            0.012029,            0.011244,            0.002179,            0.002179,            0.002179
                  81,            0.031982,            0.019265,            0.017457,             0.81661,             0.71237,             0.75215,             0.38929,            0.043858,            0.012049,            0.011792,             0.00208,             0.00208,             0.00208
                  82,            0.031547,            0.019694,            0.017559,             0.80508,             0.67554,             0.72096,             0.37582,            0.044664,            0.011662,              0.0119,            0.001981,            0.001981,            0.001981
                  83,            0.030909,            0.019189,            0.017528,             0.78839,             0.72001,               0.753,             0.39343,            0.042995,            0.011994,            0.011374,            0.001882,            0.001882,            0.001882
                  84,            0.030569,            0.018906,            0.016192,             0.82918,             0.73313,             0.76501,             0.37379,            0.043494,            0.011952,            0.011235,            0.001783,            0.001783,            0.001783
                  85,            0.030377,            0.019325,            0.016104,             0.80033,             0.71623,             0.74898,             0.38135,            0.043665,            0.011826,            0.011276,            0.001684,            0.001684,            0.001684
                  86,            0.030482,            0.019027,            0.015967,             0.79541,             0.73749,              0.7626,             0.38903,            0.042977,            0.011951,            0.010885,            0.001585,            0.001585,            0.001585
                  87,            0.030136,            0.019026,            0.017161,             0.76556,             0.70001,             0.73363,              0.3676,            0.044051,            0.011982,             0.01272,            0.001486,            0.001486,            0.001486
                  88,            0.030618,            0.019419,            0.017009,             0.78854,             0.71191,             0.73436,             0.39685,            0.043785,            0.011759,            0.012119,            0.001387,            0.001387,            0.001387
                  89,            0.030165,            0.018609,            0.016944,             0.80272,              0.6944,             0.73451,             0.38587,            0.044584,            0.011946,            0.011339,            0.001288,            0.001288,            0.001288
                  90,            0.029788,            0.019211,            0.015777,             0.77414,             0.69585,             0.72428,              0.3822,            0.043899,            0.011801,              0.0113,            0.001189,            0.001189,            0.001189
                  91,             0.02969,            0.019485,            0.015956,             0.81798,             0.67339,             0.72167,             0.36832,            0.044238,            0.011802,            0.011372,             0.00109,             0.00109,             0.00109
                  92,            0.029631,            0.019288,            0.016781,             0.80722,              0.7129,             0.74654,             0.38676,            0.043754,            0.012012,            0.011234,            0.000991,            0.000991,            0.000991
                  93,             0.02918,            0.017744,            0.017328,             0.79989,             0.70314,             0.73312,             0.38487,            0.043816,             0.01187,            0.011897,            0.000892,            0.000892,            0.000892
                  94,            0.029525,            0.018828,            0.016865,             0.77152,             0.70497,             0.73256,             0.38507,            0.043204,            0.011696,            0.011825,            0.000793,            0.000793,            0.000793
                  95,            0.029392,            0.019131,            0.015703,             0.79002,             0.69136,             0.73577,              0.3916,            0.042738,            0.011852,            0.011535,            0.000694,            0.000694,            0.000694
                  96,             0.02952,             0.01871,            0.017002,             0.79404,             0.71285,             0.72985,             0.38467,            0.043298,            0.011884,             0.01159,            0.000595,            0.000595,            0.000595
                  97,            0.028845,            0.018911,            0.017122,             0.79906,             0.72797,             0.74701,             0.39189,             0.04312,            0.011882,            0.011568,            0.000496,            0.000496,            0.000496
                  98,            0.028557,            0.019039,            0.015713,             0.79315,             0.73237,             0.73428,             0.38813,            0.043762,            0.011841,            0.011364,            0.000397,            0.000397,            0.000397
                  99,            0.028421,            0.018252,            0.015851,             0.79186,             0.72069,             0.74561,             0.38913,            0.043575,             0.01181,            0.011484,            0.000298,            0.000298,            0.000298
